package,stars,downloads,gallery,description,CRAN
ggspark,NA,1671,NA,'ggplot2' Functions to Create Tufte Style Sparklines,TRUE
ggfigdone,NA,1336,NA,Manage & Modify 'ggplot' Figures using 'ggfigdone',TRUE
ggbraid,81,1233,TRUE,NA,NA
ggcompare,NA,1048,NA,Mean Comparison in 'ggplot2',TRUE
ggsurveillance,NA,592,NA,Tools for Outbreak Investigation/Infectious Disease Surveillance,TRUE
gg1d,NA,541,NA,Exploratory Data Analysis using Tiled One-Dimensional Graphics,TRUE
ggtaxplot,NA,494,NA,Create Plots to Visualize Taxonomy,TRUE
ggstackplot,NA,418,NA,Create Overlapping Stacked Plots,TRUE
ggmapcn,NA,350,NA,Customizable China Map Visualizations,TRUE
ggfootball,NA,238,NA,Plotting Expected Goals (xG) Stats with 'Understat' Data,TRUE
gg3D,104,NA,TRUE,NA,NA
gganatogram,383,NA,TRUE,NA,NA
ggtech,393,NA,TRUE,NA,NA
ggradar,340,NA,TRUE,NA,NA
ggtree,858,NA,TRUE,NA,NA
ggthemr,898,NA,TRUE,NA,NA
ggpirate,26,NA,TRUE,NA,NA
humapr,9,NA,TRUE,NA,NA
econocharts,252,NA,TRUE,NA,NA
ggchromatic,13,NA,TRUE,NA,NA
ggtranscript,135,NA,TRUE,NA,NA
ggterror,0,NA,TRUE,NA,NA
ggmagnify,278,NA,TRUE,NA,NA
ggoutlierscatterplot,4,NA,TRUE,NA,NA
ggautothemes,2,NA,TRUE,NA,NA
eheat,12,NA,TRUE,NA,NA
